Hour;Minutes;Day;Month;Year;Timestamp [ms]
23;50;14;10;2019;10
23;50;14;10;2019;22
23;50;14;10;2019;34
23;50;14;10;2019;46
23;50;14;10;2019;58
23;50;14;10;2019;70
23;50;14;10;2019;82
23;50;14;10;2019;94
23;50;14;10;2019;106
23;50;14;10;2019;118
23;50;14;10;2019;130
23;50;14;10;2019;154
23;50;14;10;2019;167
23;50;14;10;2019;179
23;50;14;10;2019;191
23;50;14;10;2019;203
23;50;14;10;2019;215
23;50;14;10;2019;227
23;50;14;10;2019;247
23;50;14;10;2019;251
23;50;14;10;2019;263
23;50;14;10;2019;281
23;50;14;10;2019;287
23;50;14;10;2019;299
23;50;14;10;2019;323
23;50;14;10;2019;335
23;50;14;10;2019;359
23;50;14;10;2019;371
23;50;14;10;2019;384
23;50;14;10;2019;395
23;50;14;10;2019;407
23;50;14;10;2019;419
23;50;14;10;2019;431
23;50;14;10;2019;451
23;50;14;10;2019;455
23;50;14;10;2019;467
23;50;14;10;2019;486
23;50;14;10;2019;491
23;50;14;10;2019;503
23;50;14;10;2019;527
23;50;14;10;2019;539
23;50;14;10;2019;563
23;50;14;10;2019;575
23;50;14;10;2019;589
23;50;14;10;2019;599
23;50;14;10;2019;611
23;50;14;10;2019;623
23;50;14;10;2019;635
23;50;14;10;2019;656
23;50;14;10;2019;659
23;50;14;10;2019;671
23;50;14;10;2019;695
23;50;14;10;2019;696
23;50;14;10;2019;708
23;50;14;10;2019;729
23;50;14;10;2019;732
23;50;14;10;2019;744
23;50;14;10;2019;763
23;50;14;10;2019;768
23;50;14;10;2019;780
23;50;14;10;2019;804
23;50;14;10;2019;816
23;50;14;10;2019;840
23;50;14;10;2019;852
23;50;14;10;2019;866
23;50;14;10;2019;876
23;50;14;10;2019;888
23;50;14;10;2019;900
23;50;14;10;2019;912
23;50;14;10;2019;933
23;50;14;10;2019;936
23;50;14;10;2019;948
23;50;14;10;2019;968
23;50;14;10;2019;972
23;50;14;10;2019;984
23;50;14;10;2019;1008
23;50;14;10;2019;1020
23;50;14;10;2019;1044
23;50;14;10;2019;1056
23;50;14;10;2019;1069
23;50;14;10;2019;1080
23;50;14;10;2019;1102
23;50;14;10;2019;1104
23;50;14;10;2019;1116
23;50;14;10;2019;1136
23;50;14;10;2019;1140
23;50;14;10;2019;1152
23;50;14;10;2019;1176
23;50;14;10;2019;1188
23;50;14;10;2019;1212
23;50;14;10;2019;1225
23;50;14;10;2019;1238
23;50;14;10;2019;1249
23;50;14;10;2019;1261
23;50;14;10;2019;1285
23;50;14;10;2019;1297
23;50;14;10;2019;1321
23;50;14;10;2019;1333
23;50;14;10;2019;1347
23;50;14;10;2019;1357
23;50;14;10;2019;1369
23;50;14;10;2019;1381
23;50;14;10;2019;1393
23;50;14;10;2019;1414
23;50;14;10;2019;1417
23;50;14;10;2019;1429
23;50;14;10;2019;1449
23;50;14;10;2019;1453
23;50;14;10;2019;1465
23;50;14;10;2019;1489
23;50;14;10;2019;1501
23;50;14;10;2019;1525
23;50;14;10;2019;1537
23;50;14;10;2019;1551
23;50;14;10;2019;1561
23;50;14;10;2019;1573
23;50;14;10;2019;1585
23;50;14;10;2019;1597
23;50;14;10;2019;1619
23;50;14;10;2019;1621
23;50;14;10;2019;1633
23;50;14;10;2019;1653
23;50;14;10;2019;1657
23;50;14;10;2019;1669
23;50;14;10;2019;1693
23;50;14;10;2019;1705
23;50;14;10;2019;1729
23;50;14;10;2019;1741
23;50;14;10;2019;1755
23;50;14;10;2019;1765
23;50;14;10;2019;1777
23;50;14;10;2019;1790
23;50;14;10;2019;1801
23;50;14;10;2019;1827
23;50;14;10;2019;1827
23;50;14;10;2019;1837
23;50;14;10;2019;1849
23;50;14;10;2019;1873
23;50;14;10;2019;1885
23;50;14;10;2019;1900
23;50;14;10;2019;1910
23;50;14;10;2019;1922
23;50;14;10;2019;1934
23;50;14;10;2019;1946
23;50;14;10;2019;1967
23;50;14;10;2019;1970
23;50;14;10;2019;1982
23;50;14;10;2019;2002
23;50;14;10;2019;2006
23;50;14;10;2019;2018
23;50;14;10;2019;2038
23;50;14;10;2019;2042
23;50;14;10;2019;2054
23;50;14;10;2019;2078
23;50;14;10;2019;2090
23;50;14;10;2019;2114
23;50;14;10;2019;2126
23;50;14;10;2019;2140
23;50;14;10;2019;2150
23;50;14;10;2019;2162
23;50;14;10;2019;2174
23;50;14;10;2019;2186
23;50;14;10;2019;2208
23;50;14;10;2019;2210
23;50;14;10;2019;2222
23;50;14;10;2019;2242
23;50;14;10;2019;2246
23;50;14;10;2019;2258
23;50;14;10;2019;2282
23;50;14;10;2019;2294
23;50;14;10;2019;2318
23;50;14;10;2019;2330
23;50;14;10;2019;2344
23;50;14;10;2019;2354
23;50;14;10;2019;2366
23;50;14;10;2019;2390
23;50;14;10;2019;2402
23;50;14;10;2019;2416
23;50;14;10;2019;2426
23;50;14;10;2019;2438
23;50;14;10;2019;2451
23;50;14;10;2019;2462
23;50;14;10;2019;2484
23;50;14;10;2019;2486
23;50;14;10;2019;2498
23;50;14;10;2019;2518
23;50;14;10;2019;2522
23;50;14;10;2019;2535
23;50;14;10;2019;2559
23;50;14;10;2019;2571
23;50;14;10;2019;2595
23;50;14;10;2019;2607
23;50;14;10;2019;2621
23;50;14;10;2019;2631
23;50;14;10;2019;2643
23;50;14;10;2019;2655
23;50;14;10;2019;2667
23;50;14;10;2019;2688
23;50;14;10;2019;2691
23;50;14;10;2019;2703
23;50;14;10;2019;2724
23;50;14;10;2019;2727
23;50;14;10;2019;2739
23;50;14;10;2019;2759
23;50;14;10;2019;2763
23;50;14;10;2019;2775
23;50;14;10;2019;2799
23;50;14;10;2019;2811
23;50;14;10;2019;2835
23;50;14;10;2019;2847
23;50;14;10;2019;2861
23;50;14;10;2019;2871
23;50;14;10;2019;2883
23;50;14;10;2019;2895
23;50;14;10;2019;2907
23;50;14;10;2019;2933
23;50;14;10;2019;2933
23;50;14;10;2019;2943
23;50;14;10;2019;2955
23;50;14;10;2019;2967
23;50;14;10;2019;2979
23;50;14;10;2019;3001
23;50;14;10;2019;3003
23;50;14;10;2019;3015
23;50;14;10;2019;3035
23;50;14;10;2019;3039
23;50;14;10;2019;3051
23;50;14;10;2019;3075
23;50;14;10;2019;3087
23;50;14;10;2019;3111
23;50;14;10;2019;3123
23;50;14;10;2019;3137
23;50;14;10;2019;3147
23;50;14;10;2019;3159
23;50;14;10;2019;3172
23;50;14;10;2019;3183
23;50;14;10;2019;3205
23;50;14;10;2019;3208
23;50;14;10;2019;3220
23;50;14;10;2019;3239
23;50;14;10;2019;3244
23;50;14;10;2019;3256
23;50;14;10;2019;3280
23;50;14;10;2019;3292
23;50;14;10;2019;3316
23;50;14;10;2019;3328
23;50;14;10;2019;3342
23;50;14;10;2019;3352
23;50;14;10;2019;3364
23;50;14;10;2019;3376
23;50;14;10;2019;3388
23;50;14;10;2019;3411
23;50;14;10;2019;3412
23;50;14;10;2019;3424
23;50;14;10;2019;3445
23;50;14;10;2019;3448
23;50;14;10;2019;3460
23;50;14;10;2019;3484
23;50;14;10;2019;3484
23;50;14;10;2019;3496
23;50;14;10;2019;3518
23;50;14;10;2019;3520
23;50;14;10;2019;3532
23;50;14;10;2019;3552
23;50;14;10;2019;3556
23;50;14;10;2019;3568
23;50;14;10;2019;3592
23;50;14;10;2019;3604
23;50;14;10;2019;3628
23;50;14;10;2019;3640
23;50;14;10;2019;3654
23;50;14;10;2019;3664
23;50;14;10;2019;3676
23;50;14;10;2019;3689
23;50;14;10;2019;3700
23;50;14;10;2019;3722
23;50;14;10;2019;3724
23;50;14;10;2019;3736
23;50;14;10;2019;3756
23;50;14;10;2019;3760
23;50;14;10;2019;3772
23;50;14;10;2019;3797
23;50;14;10;2019;3809
23;50;14;10;2019;3833
23;50;14;10;2019;3845
23;50;14;10;2019;3859
23;50;14;10;2019;3869
23;50;14;10;2019;3881
23;50;14;10;2019;3893
23;50;14;10;2019;3905
23;50;14;10;2019;3926
23;50;14;10;2019;3929
